Name,Status,District,Population Census 1991-03-01,Population Census 2001-03-01,Population Census 2011-03-01,query,lat,lon
Nagapattinam,Municipality,Nagapattinam,"86,489","93,148","102,905","Nagapattinam, Nagapattinam, Tamil Nadu, India",10.7647952,79.8430779
Nagercoil,Municipality,Kanniyakumari,"190,084","208,179","224,849","Nagercoil, Kanniyakumari, Tamil Nadu, India",8.1839904,77.4315437
Nallampatti,Town Panchayat,Erode,...,"3,656","3,874","Nallampatti, Erode, Tamil Nadu, India",11.3419107,77.5365255
Nallipalayam,Census Town,Namakkal,...,...,"5,078","Nallipalayam, Namakkal, Tamil Nadu, India",11.2385828,78.1485479
Nallur,Census Town,Tirunelveli,...,...,"7,828","Nallur, Tirunelveli, Tamil Nadu, India",8.7888122,77.6054484
Nallur $,Census Town,Thiruvallur,...,...,"19,595","Nallur $, Thiruvallur, Tamil Nadu, India",13.2773201,80.2310891
Namagiripettai,Town Panchayat,Namakkal,...,"21,446","21,250","Namagiripettai, Namakkal, Tamil Nadu, India",11.4556307,78.2681465
Namakkal,Municipality,Namakkal,"45,038","53,055","55,145","Namakkal, Namakkal, Tamil Nadu, India",11.2191692,78.16787
Nambiyur,Town Panchayat,Erode,...,"15,854","16,379","Nambiyur, Erode, Tamil Nadu, India",11.3614839,77.3501984
Nangavalli,Town Panchayat,Salem,...,"9,676","10,809","Nangavalli, Salem, Tamil Nadu, India",11.7609466,77.8916025
Nangavaram,Town Panchayat,Karur,...,"16,408","17,629","Nangavaram, Karur, Tamil Nadu, India",10.7781073,78.522454
Nanguneri,Town Panchayat,Tirunelveli,...,"6,758","6,640","Nanguneri, Tirunelveli, Tamil Nadu, India",8.4892568,77.6596709
Nanjikottai,Census Town,Thanjavur,...,"21,935","32,689","Nanjikottai, Thanjavur, Tamil Nadu, India",10.7695486,79.1406916
Nannilam,Town Panchayat,Thiruvarur,...,"11,056","12,618","Nannilam, Thiruvarur, Tamil Nadu, India",10.9072394,79.6127723
Naranammalpuram,Town Panchayat,Tirunelveli,"14,884","16,318","17,094","Naranammalpuram, Tirunelveli, Tamil Nadu, India",8.7592218,77.7392846
Naranapuram,Census Town,Virudhunagar,...,"9,331","11,665","Naranapuram, Virudhunagar, Tamil Nadu, India",9.4519134,77.8411303
Narasingapuram,Municipality,Salem,...,"18,690","23,084","Narasingapuram, Salem, Tamil Nadu, India",11.6056296,78.5744935
Nasiyanur,Town Panchayat,Erode,...,"9,905","10,970","Nasiyanur, Erode, Tamil Nadu, India",11.3389391,77.6391662
Natchiarkoil,Census Town,Thanjavur,...,"7,128","7,505","Natchiarkoil, Thanjavur, Tamil Nadu, India",10.9175056,79.4456202
Natham,Town Panchayat,Dindigul,...,"22,545","23,660","Natham, Dindigul, Tamil Nadu, India",10.2689998,78.2507119
Nathampannai,Census Town,Pudukkottai,...,"6,426","8,915","Nathampannai, Pudukkottai, Tamil Nadu, India",10.4087671,78.7918432
Natrampalli,Town Panchayat,Vellore,...,"9,134","10,390","Natrampalli, Vellore, Tamil Nadu, India",12.5834492,78.5117434
Nattalam,Census Town,Kanniyakumari,...,...,"7,674","Nattalam, Kanniyakumari, Tamil Nadu, India",8.2704381,77.238919
Nattapettai,Census Town,Kanchipuram,"9,923","10,111","19,883","Nattapettai, Kanchipuram, Tamil Nadu, India",12.8179099,79.7304781
Nattarasankottai,Town Panchayat,Sivaganga,"5,693","6,586","5,860","Nattarasankottai, Sivaganga, Tamil Nadu, India",9.8691953,78.5545152
Navalpattu,Census Town,Tiruchirappalli,"13,826","15,394","16,788","Navalpattu, Tiruchirappalli, Tamil Nadu, India",10.7504375,78.7762002
Needamangalam,Town Panchayat,Thiruvarur,...,"8,730","9,336","Needamangalam, Thiruvarur, Tamil Nadu, India",10.7249597,79.4700426
Neelambur,Census Town,Coimbatore,...,...,"8,382","Neelambur, Coimbatore, Tamil Nadu, India",11.0644299,77.0861309
Nellikuppam,Municipality,Cuddalore,"42,783","44,222","46,678","Nellikuppam, Cuddalore, Tamil Nadu, India",11.7737083,79.6699222
Nemilicheri,Census Town,Thiruvallur,...,"4,831","5,743","Nemilicheri, Thiruvallur, Tamil Nadu, India",13.1256971,80.0506578
Nerkuppai,Town Panchayat,Sivaganga,...,"5,689","7,165","Nerkuppai, Sivaganga, Tamil Nadu, India",10.2272825,78.5329705
Nerunjipettai,Town Panchayat,Erode,...,"6,925","6,791","Nerunjipettai, Erode, Tamil Nadu, India",11.6542644,77.7584731
